date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence
2025-12-23,O:SPY251224C00685000,1.31,2.39,82.44274809160305,8208.0,Time limit,119.0,0.6523493845309098
2025-12-30,O:SPY251231P00687000,1.19,1.01,-15.126050420168067,-1512.0,Hard stop,26.0,0.6716846160661639
2025-12-30,O:SPY251231P00687000,1.08,1.08,0.0,0.0,Trailing stop,45.0,0.6657634029860277
2026-01-02,O:SPY260105P00683000,1.6,2.35,46.875,4650.0,Trailing stop,14.0,0.6605445792844191
2026-01-02,O:SPY260105C00684000,0.63,0.58,-7.936507936507947,-790.0000000000011,Trailing stop,8.0,0.671877673617162
2026-01-02,O:SPY260105C00684000,0.53,0.86,62.264150943396224,6204.0,Trailing stop,25.0,0.6814924060857791
2026-01-06,O:SPY260107P00686000,0.19,0.17,-10.526315789473683,-1052.0,Trailing stop,8.0,0.6619248533241344
2026-01-29,O:SPY260130C00698000,0.25,0.27,8.0,800.0,Trailing stop,39.0,0.6506124245220267
2026-02-02,O:SPY260203C00688000,4.46,7.63,71.0762331838565,6974.0,Trailing stop,99.0,0.7023035099464293
2026-02-03,O:SPY260204P00697000,4.63,5.3,14.47084233261339,1407.0,Trailing stop,19.0,0.6696254493936387
2026-02-05,O:SPY260206C00687000,1.94,2.25,15.979381443298967,1581.0,Trailing stop,21.0,0.7209679873600413
2026-02-05,O:SPY260206P00686000,6.07,9.08,49.588138385502475,4816.0,Trailing stop,39.0,0.6779688775352294
2026-02-05,O:SPY260206C00687000,1.19,1.01,-15.126050420168067,-1512.0,Hard stop,7.0,0.65024049194372
2026-02-06,O:SPY260209C00678000,6.56,7.79,18.75,1845.0,Trailing stop,26.0,0.740495448327124
2026-02-06,O:SPY260209P00677000,1.73,1.34,-22.54335260115607,-2223.0,Hard stop,4.0,0.6645239080334887
2026-02-09,O:SPY260210P00690000,2.48,2.03,-18.14516129032259,-1800.0000000000011,Hard stop,9.0,0.6679425768021364
2026-02-11,O:SPY260212P00693000,1.83,4.09,123.49726775956285,12204.0,Trailing stop,30.0,0.7014073659347292
2026-02-11,O:SPY260212C00694000,1.33,1.28,-3.7593984962406015,-375.0,Trailing stop,25.0,0.6651366045869574
2026-02-17,O:SPY260218P00680000,5.65,4.83,-14.513274336283185,-1394.0,Hard stop,3.0,0.6618197597365396
2026-02-17,O:SPY260218C00681000,2.55,2.1,-17.647058823529402,-1754.9999999999989,Hard stop,7.0,0.6556054859907835
2026-02-17,O:SPY260218C00681000,2.34,3.71,58.54700854700855,5754.0,Trailing stop,30.0,0.6724459121904376
2026-02-18,O:SPY260219C00686000,2.17,2.37,9.216589861751153,920.0,Trailing stop,18.0,0.8095554233144596
2026-02-19,O:SPY260220P00686000,4.01,3.6,-10.224438902743142,-984.0,Trailing stop,9.0,0.655451199103719
2026-02-19,O:SPY260220C00687000,2.2,2.04,-7.272727272727285,-720.0000000000013,Trailing stop,10.0,0.6545974546950095
2026-02-19,O:SPY260220P00686000,4.27,3.52,-17.56440281030444,-1724.9999999999986,Hard stop,3.0,0.6523276215592388
